##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR25630385_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	33181752
Total Bases	4.9 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.1095267061245	37.0	37.0	37.0	37.0	37.0
2	36.040051742897724	37.0	37.0	37.0	37.0	37.0
3	36.16835271386514	37.0	37.0	37.0	37.0	37.0
4	36.18034337065746	37.0	37.0	37.0	37.0	37.0
5	36.242312853160975	37.0	37.0	37.0	37.0	37.0
6	36.18505364032617	37.0	37.0	37.0	37.0	37.0
7	36.18115692022531	37.0	37.0	37.0	37.0	37.0
8	36.25173462811728	37.0	37.0	37.0	37.0	37.0
9	36.26690603919889	37.0	37.0	37.0	37.0	37.0
10-14	36.273425562339206	37.0	37.0	37.0	37.0	37.0
15-19	36.25890717283403	37.0	37.0	37.0	37.0	37.0
20-24	36.231129411129345	37.0	37.0	37.0	37.0	37.0
25-29	36.18920342120573	37.0	37.0	37.0	37.0	37.0
30-34	36.148757594234326	37.0	37.0	37.0	37.0	37.0
35-39	36.10977269675212	37.0	37.0	37.0	37.0	37.0
40-44	36.084974102633275	37.0	37.0	37.0	37.0	37.0
45-49	36.05084275839322	37.0	37.0	37.0	37.0	37.0
50-54	36.00806048456995	37.0	37.0	37.0	37.0	37.0
55-59	35.96710790316316	37.0	37.0	37.0	37.0	37.0
60-64	35.92480642975091	37.0	37.0	37.0	37.0	37.0
65-69	35.89389467439814	37.0	37.0	37.0	37.0	37.0
70-74	35.84890571179002	37.0	37.0	37.0	37.0	37.0
75-79	35.766185824063776	37.0	37.0	37.0	37.0	37.0
80-84	35.741981719349845	37.0	37.0	37.0	37.0	37.0
85-89	35.69054860032707	37.0	37.0	37.0	37.0	37.0
90-94	35.620829358256906	37.0	37.0	37.0	37.0	37.0
95-99	35.53977026891165	37.0	37.0	37.0	37.0	37.0
100-104	35.49038869918623	37.0	37.0	37.0	37.0	37.0
105-109	35.42381222064465	37.0	37.0	37.0	37.0	37.0
110-114	35.256089684474766	37.0	37.0	37.0	34.6	37.0
115-119	35.117961101029266	37.0	37.0	37.0	25.0	37.0
120-124	35.02042249004815	37.0	37.0	37.0	25.0	37.0
125-129	34.79510521325095	37.0	37.0	37.0	25.0	37.0
130-134	34.56352870095587	37.0	37.0	37.0	25.0	37.0
135-139	34.305304927841064	37.0	37.0	37.0	25.0	37.0
140-144	34.00689709211255	37.0	37.0	37.0	25.0	37.0
145-149	33.789230116601445	37.0	37.0	37.0	25.0	37.0
150	33.67567378600141	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	30-34	-0.034978185689503505
1103	35-39	0.03175399633578735
1103	40-44	-0.04711060445210791
1103	45-49	-0.028455465552205794
1103	50-54	-0.03150378282345656
1103	55-59	-0.0017278649327820972
1103	60-64	0.015165241696536214
1103	65-69	-0.0056840630413006465
1103	70-74	-0.001397445245139295
1103	75-79	-0.02948640437728045
1103	80-84	-0.03400774136494533
1103	85-89	-0.015095394196002587
1103	90-94	-0.10802088376020436
1103	95-99	0.02042508314440994
1103	100-104	4.713881212268234E-4
1103	105-109	-0.010978453403957644
1103	110-114	0.0107090834863115
1103	115-119	0.03972160696645943
1103	120-124	0.07693518145204337
1103	125-129	-8.506049397709603E-4
1103	130-134	0.07231157620720552
1103	135-139	0.05693453561856643
1103	140-144	0.1470717288729233
1103	145-149	0.12213193941737899
1103	150	-0.0638807823432046
1104	1	0.0091710083691936
1104	2	-0.03501101344549795
1104	3	0.019186253352280858
1104	4	-0.07168203897219172
1104	5	-0.009425548962937569
1104	6	-0.28763494433376735
1104	7	-0.1402569248241008
1104	8	-0.03313495608104944
1104	9	-0.09871195218597961
1104	10-14	-0.07254917710918818
1104	15-19	-0.07304361359695122
1104	20-24	-0.13902672578610265
1104	25-29	-0.09114737174868281
1104	30-34	-0.1157777582529036
1104	35-39	-0.044164727614180777
1104	40-44	-0.09083442556158161
1104	45-49	-0.0877731944095288
1104	50-54	-0.07196699427353792
1104	55-59	-0.14899200053800854
1104	60-64	-0.14396627236578752
1104	65-69	-0.17362061788173833
1104	70-74	-0.10592430926335794
1104	75-79	-0.1562834677341982
1104	80-84	-0.17671646303622168
1104	85-89	-0.1371766143331925
1104	90-94	-0.15004136192131057
1104	95-99	-0.15208587725883405
1104	100-104	-0.16796008919165928
1104	105-109	-0.12868535166020934
1104	110-114	-0.15795113675098094
1104	115-119	-0.15238874564217042
1104	120-124	-0.20004435616114336
1104	125-129	-0.1668955716817777
1104	130-134	-0.14818517046117563
1104	135-139	-0.13661924325483454
1104	140-144	-0.12602623841367944
1104	145-149	-0.07859842615116719
1104	150	-0.36006132526327406
1105	1	0.05195873479969748
1105	2	-0.031677767996107775
1105	3	0.01767860175521463
1105	4	0.050882672339199075
1105	5	-0.13767577919026053
1105	6	-0.1107932154580098
1105	7	-0.08047239232480052
1105	8	0.014297722610535857
1105	9	-0.04161198805199007
1105	10-14	-0.042550342481433745
1105	15-19	-0.0849244822875761
1105	20-24	-0.0580063651572118
1105	25-29	-0.07527419045872819
1105	30-34	-0.05350463337507705
1105	35-39	-0.06954594240631451
1105	40-44	-0.11829742889280226
1105	45-49	-0.03728964292901793
1105	50-54	-0.08199283059192908
1105	55-59	-0.04160990555440236
1105	60-64	-0.09683971059926222
1105	65-69	-0.1424984548884396
1105	70-74	-0.031112278191137932
1105	75-79	-0.09732734797761822
1105	80-84	-0.18879620944373698
