##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	trim_paired_SRR25630385_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	32806406
Total Bases	4.4 Gbp
Sequences flagged as poor quality	0
Sequence length	35-142
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.34982405570424	37.0	37.0	37.0	37.0	37.0
2	36.34397800234503	37.0	37.0	37.0	37.0	37.0
3	36.387637524207925	37.0	37.0	37.0	37.0	37.0
4	36.36348925267827	37.0	37.0	37.0	37.0	37.0
5	36.35445034728888	37.0	37.0	37.0	37.0	37.0
6	36.35370153012189	37.0	37.0	37.0	37.0	37.0
7	36.35435329307331	37.0	37.0	37.0	37.0	37.0
8	36.351817507836735	37.0	37.0	37.0	37.0	37.0
9	36.34798100102766	37.0	37.0	37.0	37.0	37.0
10-14	36.3408492353597	37.0	37.0	37.0	37.0	37.0
15-19	36.3070571643843	37.0	37.0	37.0	37.0	37.0
20-24	36.27153403515155	37.0	37.0	37.0	37.0	37.0
25-29	36.23844445502503	37.0	37.0	37.0	37.0	37.0
30-34	36.2131991294627	37.0	37.0	37.0	37.0	37.0
35-39	36.18558101653396	37.0	37.0	37.0	37.0	37.0
40-44	36.16677388202193	37.0	37.0	37.0	37.0	37.0
45-49	36.12685857247343	37.0	37.0	37.0	37.0	37.0
50-54	36.105271501713005	37.0	37.0	37.0	37.0	37.0
55-59	36.08443896476142	37.0	37.0	37.0	37.0	37.0
60-64	36.05267174165844	37.0	37.0	37.0	37.0	37.0
65-69	36.00888730105359	37.0	37.0	37.0	37.0	37.0
70-74	35.96754672535601	37.0	37.0	37.0	37.0	37.0
75-79	35.95429745301286	37.0	37.0	37.0	37.0	37.0
80-84	35.89597797775237	37.0	37.0	37.0	37.0	37.0
85-89	35.85554231697644	37.0	37.0	37.0	37.0	37.0
90-94	35.81389186761147	37.0	37.0	37.0	37.0	37.0
95-99	35.817159282065056	37.0	37.0	37.0	37.0	37.0
100-104	35.749632829224915	37.0	37.0	37.0	37.0	37.0
105-109	35.66558965384429	37.0	37.0	37.0	37.0	37.0
110-114	35.66113895040132	37.0	37.0	37.0	37.0	37.0
115-119	35.6256746594723	37.0	37.0	37.0	37.0	37.0
120-124	35.53566758902075	37.0	37.0	37.0	37.0	37.0
125-129	35.49171828231755	37.0	37.0	37.0	37.0	37.0
130-134	35.35864657924565	37.0	37.0	37.0	37.0	37.0
135-139	35.35009027869944	37.0	37.0	37.0	37.0	37.0
140-142	35.66701905990763	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	30-34	-0.09736638125949781
1103	35-39	-0.09941623660926524
1103	40-44	-0.11335839537073156
1103	45-49	-0.010532488947575303
1103	50-54	-0.09068330592677398
1103	55-59	-0.031007998644234647
1103	60-64	-0.07085779645360901
1103	65-69	-0.04228469463905071
1103	70-74	-0.13947064163151168
1103	75-79	-0.11393549925622182
1103	80-84	-0.06316750122130799
1103	85-89	-0.04740121633610528
1103	90-94	-0.10240385809562724
1103	95-99	-0.05994810020420971
1103	100-104	-0.07592137623037587
1103	105-109	-0.09221866308548243
1103	110-114	0.01694065089763086
1103	115-119	-0.0026062881406190286
1103	120-124	-0.034213546606800094
1103	125-129	-0.009253336873868534
1103	130-134	-0.016168503341411622
1103	135-139	0.19760239951504133
1103	140-142	0.02893963835000335
1104	1	-0.0706137880699913
1104	2	-0.0685548440404915
1104	3	-0.07185367897171346
1104	4	-0.13609203363900235
1104	5	-0.01850018588746849
1104	6	-0.031824811804192166
1104	7	-0.05485126264557749
1104	8	-0.03298440243839451
1104	9	-0.11940920898435081
1104	10-14	-0.05768268911815966
1104	15-19	-0.04716063396535475
1104	20-24	0.008982791663960654
1104	25-29	-0.057581082775222114
1104	30-34	-0.030341798559895494
1104	35-39	-0.04155290973648107
1104	40-44	-0.0519184133269448
1104	45-49	-0.038637788297201325
1104	50-54	-0.07141209652045433
1104	55-59	-0.0395413690433557
1104	60-64	-0.017440356496962295
1104	65-69	-0.05847159101463717
1104	70-74	-0.03408459717676493
1104	75-79	0.012733611078317608
1104	80-84	-0.06628866380027176
1104	85-89	-0.02327741955808449
1104	90-94	-0.04843136741880727
1104	95-99	-0.09871576987499964
1104	100-104	-0.08501984376403016
1104	105-109	0.04836349292083497
1104	110-114	-0.04472052961024531
1104	115-119	-0.0010678894206392897
1104	120-124	0.04681672414730542
1104	125-129	0.020363542185179995
1104	130-134	-0.010729654794999988
1104	135-139	0.21822854747464504
1104	140-142	-0.027093288030251017
1105	1	-0.061353648304852015
1105	2	-0.0056861026059991104
1105	3	-0.05597207578804131
1105	4	-0.0030594337596667742
1105	5	0.026063237839039743
1105	6	0.03310884170771544
1105	7	-0.055258811081912995
1105	8	-0.03234750811730436
1105	9	0.028865702413817473
1105	10-14	-0.012543902893291659
1105	15-19	0.03665689621120549
1105	20-24	0.017677797597386302
1105	25-29	-0.0335656119169343
1105	30-34	-0.03014793336254229
1105	35-39	0.002190859594641381
1105	40-44	-0.03697521818676819
1105	45-49	0.06281360924183588
1105	50-54	0.01537685024563018
1105	55-59	0.00846199511882162
1105	60-64	-0.024567112502239752
1105	65-69	-0.02110927747662572
1105	70-74	1.740667375216276E-4
1105	75-79	-0.017553635145162616
1105	80-84	-0.06164756377916092
1105	85-89	-0.03306450939300731
